"_source/netflow/ipv4_src_addr","_source/netflow/in_bytes","_source/netflow/in_pkts","_source/netflow/l4_dst_port","_source/netflow/l4_src_port","_source/netflow/ipv4_dst_addr","_source/netflow/flow_seq_num","_source/netflow/tcp_flags","_source/@timestamp","Anomaly"
"192.168.1.102",1957,15,22,50697,"192.168.1.108",820,27,2018-04-04 00:18:01,1
"192.168.1.102",2310,18,22,55772,"192.168.1.108",1538,27,2018-04-04 16:43:01,1
"192.168.1.102",2310,18,22,55784,"192.168.1.108",1550,27,2018-04-04 16:43:01,1
"192.168.1.102",2310,18,22,55856,"192.168.1.108",1589,27,2018-04-04 16:45:01,1
"192.168.1.102",2310,18,22,55860,"192.168.1.108",1589,27,2018-04-04 16:45:01,1
"192.168.1.102",2310,18,22,55748,"192.168.1.108",1516,27,2018-04-04 16:42:01,1
"192.168.1.102",2310,18,22,55758,"192.168.1.108",1529,27,2018-04-04 16:42:01,1
"192.168.1.102",2310,18,22,55768,"192.168.1.108",1535,27,2018-04-04 16:42:01,1
"192.168.1.102",2310,18,22,55800,"192.168.1.108",1567,27,2018-04-04 16:44:01,1
"192.168.1.102",2310,18,22,55964,"192.168.1.108",1689,27,2018-04-04 16:49:01,1
"192.168.1.102",2310,18,22,55972,"192.168.1.108",1707,27,2018-04-04 16:49:01,1
"192.168.1.102",2310,18,22,55970,"192.168.1.108",1707,27,2018-04-04 16:49:01,1
"192.168.1.102",2310,18,22,55974,"192.168.1.108",1707,27,2018-04-04 16:49:01,1
"192.168.1.102",2310,18,22,55962,"192.168.1.108",1683,27,2018-04-04 16:49:01,1
"192.168.1.102",2310,18,22,56054,"192.168.1.108",1798,27,2018-04-04 16:52:01,1
"192.168.1.102",2310,18,22,56044,"192.168.1.108",1791,27,2018-04-04 16:52:01,1
"192.168.1.102",2310,18,22,55934,"192.168.1.108",1655,27,2018-04-04 16:47:01,1
"192.168.1.102",2310,18,22,56010,"192.168.1.108",1766,27,2018-04-04 16:51:01,1
"192.168.1.102",2310,18,22,56028,"192.168.1.108",1778,27,2018-04-04 16:51:01,1
"192.168.1.102",2310,18,22,56020,"192.168.1.108",1772,27,2018-04-04 16:51:01,1
"192.168.1.102",2310,18,22,56014,"192.168.1.108",1766,27,2018-04-04 16:51:01,1
"192.168.1.102",2310,18,22,55890,"192.168.1.108",1619,27,2018-04-04 16:46:01,1
"192.168.1.102",2310,18,22,55892,"192.168.1.108",1619,27,2018-04-04 16:46:01,1
"192.168.1.102",2310,18,22,56006,"192.168.1.108",1761,27,2018-04-04 16:50:01,1
"192.168.1.102",2310,18,22,55994,"192.168.1.108",1748,27,2018-04-04 16:50:01,1
"192.168.1.102",2310,18,22,55988,"192.168.1.108",1748,27,2018-04-04 16:50:01,1
"192.168.1.102",2310,18,22,55990,"192.168.1.108",1748,27,2018-04-04 16:50:01,1
"192.168.1.102",2310,18,22,55996,"192.168.1.108",1754,27,2018-04-04 16:50:01,1
"192.168.1.102",2310,18,22,55946,"192.168.1.108",1667,27,2018-04-04 16:48:01,1
